id,vending_machine_id,item_id,saled_at
401,83,30,2025-01-05 16:39:23.513867
402,49,70,2025-01-05 05:39:26.867760
403,3,90,2025-01-05 19:07:10.428070
404,93,77,2025-01-05 07:18:10.412695
405,56,81,2025-01-05 06:31:10.615643
406,31,83,2025-01-05 06:14:53.988491
407,76,85,2025-01-05 00:32:53.148993
408,36,8,2025-01-05 12:53:36.256320
409,12,49,2025-01-05 15:13:12.967969
410,100,68,2025-01-05 17:57:01.489151
411,59,45,2025-01-05 01:42:06.722270
412,31,56,2025-01-05 10:28:21.568379
413,13,94,2025-01-05 18:04:09.133625
414,89,100,2025-01-05 06:58:20.045295
415,43,63,2025-01-05 21:43:31.705603
416,16,32,2025-01-05 06:11:08.381164
417,63,93,2025-01-05 23:16:57.256664
418,14,96,2025-01-05 11:45:16.990616
419,43,29,2025-01-05 10:04:53.452780
420,98,75,2025-01-05 08:53:30.805159
421,8,2,2025-01-05 13:53:48.652349
422,16,72,2025-01-05 11:20:17.776665
423,94,89,2025-01-05 19:41:46.941275
424,22,83,2025-01-05 02:09:31.598235
425,52,48,2025-01-05 18:17:37.746520
426,21,77,2025-01-05 22:50:32.285254
427,31,20,2025-01-05 22:23:48.973869
428,78,42,2025-01-05 23:33:12.617291
429,31,100,2025-01-05 15:38:20.040601
430,76,29,2025-01-05 10:31:57.166929
431,77,54,2025-01-05 07:46:44.767964
432,73,96,2025-01-05 23:27:57.939167
433,27,22,2025-01-05 10:40:25.103783
434,55,88,2025-01-05 19:53:23.910780
435,44,86,2025-01-05 06:27:14.453032
436,18,79,2025-01-05 01:48:43.748422
437,85,70,2025-01-05 00:20:40.093400
438,97,26,2025-01-05 23:01:33.724261
439,86,1,2025-01-05 09:54:56.750031
440,62,28,2025-01-05 10:39:59.671942
441,30,49,2025-01-05 19:17:21.190535
442,13,69,2025-01-05 13:14:44.187916
443,2,62,2025-01-05 06:38:25.201834
444,1,47,2025-01-05 08:52:23.974589
445,4,95,2025-01-05 11:57:15.505144
446,76,44,2025-01-05 03:27:47.288229
447,64,7,2025-01-05 12:46:01.057083
448,87,94,2025-01-05 02:05:57.460582
449,21,40,2025-01-05 07:16:39.950089
450,75,66,2025-01-05 17:38:35.574506
451,29,100,2025-01-05 00:20:13.130658
452,4,92,2025-01-05 02:09:44.634959
453,4,2,2025-01-05 08:26:02.645856
454,52,81,2025-01-05 10:54:14.874497
455,71,72,2025-01-05 05:28:56.335831
456,84,70,2025-01-05 18:36:36.406371
457,60,64,2025-01-05 13:48:54.814584
458,37,18,2025-01-05 14:27:43.384363
459,20,57,2025-01-05 15:27:02.614431
460,17,86,2025-01-05 21:57:12.668991
461,30,18,2025-01-05 08:13:34.215378
462,68,19,2025-01-05 01:01:24.239042
463,75,37,2025-01-05 12:20:12.913906
464,49,91,2025-01-05 03:52:46.328779
465,56,82,2025-01-05 07:05:57.905528
466,10,71,2025-01-05 00:54:08.248231
467,37,3,2025-01-05 01:42:04.976555
468,19,23,2025-01-05 09:05:13.133649
469,58,38,2025-01-05 10:13:58.115153
470,4,70,2025-01-05 04:52:52.178861
471,43,58,2025-01-05 06:20:23.266531
472,80,38,2025-01-05 14:02:17.012495
473,68,35,2025-01-05 09:42:59.952597
474,76,16,2025-01-05 10:00:10.027607
475,53,73,2025-01-05 06:43:28.159914
476,46,76,2025-01-05 16:07:56.432470
477,30,65,2025-01-05 19:30:22.096353
478,71,39,2025-01-05 19:53:33.135083
479,66,3,2025-01-05 16:14:37.306346
480,95,97,2025-01-05 21:31:27.626373
481,55,62,2025-01-05 21:09:11.863829
482,15,79,2025-01-05 00:42:11.538423
483,99,7,2025-01-05 16:45:59.232721
484,66,69,2025-01-05 14:57:49.892609
485,42,65,2025-01-05 00:58:37.399478
486,13,4,2025-01-05 09:47:45.120046
487,60,33,2025-01-05 23:31:55.024829
488,16,94,2025-01-05 08:21:06.975541
489,37,66,2025-01-05 17:45:39.178632
490,24,72,2025-01-05 12:42:03.408007
491,58,21,2025-01-05 04:36:41.257252
492,79,32,2025-01-05 07:13:53.873307
493,93,73,2025-01-05 05:11:41.985084
494,68,72,2025-01-05 15:07:52.481783
495,91,85,2025-01-05 16:30:35.595986
496,96,75,2025-01-05 01:08:08.499107
497,83,18,2025-01-05 16:08:03.596629
498,53,47,2025-01-05 20:23:11.483877
499,49,59,2025-01-05 10:13:01.305851
500,85,82,2025-01-05 18:21:19.320440
