id,vending_machine_id,item_id,saled_at
2001,60,82,2025-01-21 05:55:39.848911
2002,88,37,2025-01-21 14:55:27.200408
2003,48,57,2025-01-21 12:56:34.554723
2004,51,60,2025-01-21 16:03:15.421023
2005,74,22,2025-01-21 15:43:17.678518
2006,84,77,2025-01-21 03:30:12.087902
2007,93,34,2025-01-21 13:00:34.356081
2008,84,18,2025-01-21 18:16:17.442346
2009,92,21,2025-01-21 20:34:57.658566
2010,34,82,2025-01-21 09:32:38.293222
2011,59,52,2025-01-21 11:15:50.166097
2012,38,28,2025-01-21 00:17:34.638789
2013,43,84,2025-01-21 07:21:20.454694
2014,18,24,2025-01-21 10:39:15.342147
2015,67,50,2025-01-21 09:06:29.004276
2016,8,79,2025-01-21 11:04:07.788970
2017,49,8,2025-01-21 14:13:06.256276
2018,13,42,2025-01-21 09:40:04.141659
2019,26,2,2025-01-21 17:26:45.739213
2020,21,25,2025-01-21 04:10:39.751288
2021,12,13,2025-01-21 09:57:28.442881
2022,100,13,2025-01-21 03:41:21.458024
2023,68,73,2025-01-21 23:42:23.821285
2024,34,38,2025-01-21 05:59:37.906124
2025,69,78,2025-01-21 16:52:12.287595
2026,49,40,2025-01-21 23:26:58.948666
2027,81,83,2025-01-21 18:14:12.618504
2028,68,25,2025-01-21 21:10:55.249450
2029,32,75,2025-01-21 18:47:20.418978
2030,27,4,2025-01-21 05:12:33.258484
2031,56,91,2025-01-21 08:28:17.684690
2032,26,37,2025-01-21 17:38:31.808700
2033,24,84,2025-01-21 16:27:48.958010
2034,80,17,2025-01-21 13:07:34.207620
2035,38,94,2025-01-21 07:36:46.805275
2036,66,25,2025-01-21 05:31:49.285250
2037,39,75,2025-01-21 15:36:28.092896
2038,18,8,2025-01-21 22:05:14.884077
2039,53,4,2025-01-21 23:28:20.356325
2040,80,14,2025-01-21 12:06:19.248148
2041,90,43,2025-01-21 04:10:50.561615
2042,56,55,2025-01-21 03:00:18.217796
2043,7,43,2025-01-21 05:28:50.702887
2044,91,98,2025-01-21 04:21:00.538074
2045,54,16,2025-01-21 05:11:55.793936
2046,63,61,2025-01-21 00:42:14.623493
2047,93,54,2025-01-21 12:00:08.192308
2048,97,75,2025-01-21 20:34:29.820457
2049,38,1,2025-01-21 02:03:27.150870
2050,54,4,2025-01-21 22:46:38.487992
2051,5,27,2025-01-21 03:27:05.935888
2052,11,25,2025-01-21 18:47:58.447025
2053,78,56,2025-01-21 23:33:36.042002
2054,66,15,2025-01-21 12:14:59.069963
2055,6,53,2025-01-21 12:04:50.658647
2056,30,100,2025-01-21 18:36:01.487784
2057,54,13,2025-01-21 20:59:10.698602
2058,32,46,2025-01-21 08:15:36.532376
2059,56,44,2025-01-21 16:55:49.395629
2060,31,41,2025-01-21 23:25:26.924555
2061,45,14,2025-01-21 03:08:10.201953
2062,32,89,2025-01-21 12:50:59.905406
2063,43,64,2025-01-21 10:33:43.099620
2064,66,94,2025-01-21 23:05:20.401169
2065,43,34,2025-01-21 05:17:56.752630
2066,17,92,2025-01-21 20:33:46.374053
2067,75,24,2025-01-21 20:59:20.125771
2068,14,76,2025-01-21 22:00:45.732469
2069,100,13,2025-01-21 13:33:24.914595
2070,34,7,2025-01-21 22:17:48.612079
2071,10,98,2025-01-21 19:19:45.665553
2072,19,72,2025-01-21 03:16:10.148405
2073,40,61,2025-01-21 14:02:26.358773
2074,76,21,2025-01-21 14:21:27.299743
2075,13,2,2025-01-21 20:10:09.990277
2076,43,100,2025-01-21 09:16:04.943147
2077,10,30,2025-01-21 22:34:27.590959
2078,78,86,2025-01-21 20:52:45.323858
2079,85,12,2025-01-21 16:03:21.300461
2080,40,51,2025-01-21 02:25:42.429305
2081,60,1,2025-01-21 08:38:54.425820
2082,97,11,2025-01-21 05:33:12.261878
2083,24,19,2025-01-21 20:09:28.810135
2084,44,89,2025-01-21 01:23:55.412925
2085,29,59,2025-01-21 02:21:46.997839
2086,74,7,2025-01-21 11:13:52.648704
2087,71,42,2025-01-21 06:13:49.149311
2088,16,36,2025-01-21 13:57:44.582050
2089,62,74,2025-01-21 15:30:34.542328
2090,2,85,2025-01-21 23:40:25.400565
2091,33,14,2025-01-21 10:35:26.632740
2092,66,90,2025-01-21 14:24:48.231959
2093,16,80,2025-01-21 15:19:21.605756
2094,99,38,2025-01-21 16:44:43.206480
2095,100,24,2025-01-21 20:32:43.338788
2096,61,71,2025-01-21 16:26:25.939623
2097,29,65,2025-01-21 05:22:35.593051
2098,86,84,2025-01-21 02:42:45.122095
2099,12,93,2025-01-21 15:16:45.637201
2100,77,15,2025-01-21 21:33:16.734077
